month,landing_page,sessions,journey_starts,conversions,customers
2024-01,Business Mobility,15000,900,200,150
2024-01,Fuel Card,12000,800,160,120
2024-01,SME Campaign,8000,750,170,130
2024-01,Fleet Management,5000,450,110,80
2024-02,Business Mobility,15500,1100,250,180
2024-02,Fuel Card,12500,950,220,160
2024-02,SME Campaign,8500,900,255,185
2024-02,Fleet Management,5500,550,145,105
2024-03,Business Mobility,16000,1300,295,215
2024-03,Fuel Card,13000,1150,270,195
2024-03,SME Campaign,9000,1100,330,245
2024-03,Fleet Management,6500,750,205,146
2024-04,Business Mobility,16500,1550,350,260
2024-04,Fuel Card,13500,1350,320,235
2024-04,SME Campaign,9800,1350,405,300
2024-04,Fleet Management,7200,900,260,192
2024-05,Business Mobility,17500,1900,440,330
2024-05,Fuel Card,14500,1650,400,300
2024-05,SME Campaign,10500,1650,515,390
2024-05,Fleet Management,8000,1050,325,243
2024-06,Business Mobility,18500,2250,525,405
2024-06,Fuel Card,15500,1900,470,360
2024-06,SME Campaign,11500,1750,610,475
2024-06,Fleet Management,8500,1100,345,272
