month,segment,new_customers,activated_customers,retained_90d,avg_customer_value
2024-01,1-20,252,205,170,450
2024-01,21-50,73,64,57,1200
2024-01,50+,25,23,22,3200
2024-02,1-20,268,221,187,455
2024-02,21-50,83,74,67,1225
2024-02,50+,29,27,26,3250
2024-03,1-20,284,238,204,460
2024-03,21-50,94,85,78,1250
2024-03,50+,32,30,29,3300
2024-04,1-20,307,261,225,470
2024-04,21-50,105,96,89,1280
2024-04,50+,38,36,35,3400
2024-05,1-20,319,274,239,480
2024-05,21-50,112,103,96,1300
2024-05,50+,44,42,41,3500
2024-06,1-20,330,286,252,490
2024-06,21-50,120,111,104,1350
2024-06,50+,50,48,47,3600
