month,channel,segment,spend,clicks,customers
2024-01,Paid Search,1-20,20000,7000,220
2024-01,Paid Search,21-50,7000,2200,60
2024-01,Paid Search,50+,3000,800,20
2024-01,Paid Social,1-20,3000,2800,32
2024-01,Paid Social,21-50,1500,1200,13
2024-01,Paid Social,50+,500,350,5
2024-02,Paid Search,1-20,19500,7100,235
2024-02,Paid Search,21-50,7200,2250,67
2024-02,Paid Search,50+,3300,850,23
2024-02,Paid Social,1-20,2900,2850,33
2024-02,Paid Social,21-50,1550,1250,16
2024-02,Paid Social,50+,550,400,6
2024-03,Paid Search,1-20,19000,7200,250
2024-03,Paid Search,21-50,7500,2300,75
2024-03,Paid Search,50+,3500,900,25
2024-03,Paid Social,1-20,2800,2900,34
2024-03,Paid Social,21-50,1600,1300,19
2024-03,Paid Social,50+,600,450,7
2024-04,Paid Search,1-20,18500,7350,275
2024-04,Paid Search,21-50,7800,2400,85
2024-04,Paid Search,50+,3700,950,30
2024-04,Paid Social,1-20,2700,2950,32
2024-04,Paid Social,21-50,1650,1350,20
2024-04,Paid Social,50+,650,500,8
2024-05,Paid Search,1-20,18000,7500,285
2024-05,Paid Search,21-50,8000,2500,90
2024-05,Paid Search,50+,4000,1000,35
2024-05,Paid Social,1-20,2600,3000,34
2024-05,Paid Social,21-50,1700,1400,22
2024-05,Paid Social,50+,700,550,9
2024-06,Paid Search,1-20,17500,7600,295
2024-06,Paid Search,21-50,8200,2600,95
2024-06,Paid Search,50+,4300,1050,40
2024-06,Paid Social,1-20,2500,3050,35
2024-06,Paid Social,21-50,1800,1500,25
2024-06,Paid Social,50+,700,600,10
